Nama file,Ukuran (bytes),Ukuran (KB),Lokasi,Digunakan dimana,Status
ame-spirit.webp,11060,10.8,assets/profile/ame-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
book-spirit.webp,8756,8.6,assets/profile/book-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
cloud-spirit.webp,7488,7.3,assets/profile/cloud-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
daruma.webp,11398,11.1,assets/profile/daruma.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
default-account.svg,587,0.6,assets/profile/default-account.svg,sw.js; sw-v35.js; qa/test-http.mjs; qa/test-motion-safety.mjs,USED_RUNTIME_OR_BUILD
fude-spirit.webp,6850,6.7,assets/profile/fude-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
fuji-spirit.webp,7682,7.5,assets/profile/fuji-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
fukurou.webp,9340,9.1,assets/profile/fukurou.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
hoshi-spirit.webp,9260,9.0,assets/profile/hoshi-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
kame.webp,10818,10.6,assets/profile/kame.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
kintsugi.webp,8862,8.7,assets/profile/kintsugi.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
kitsune.webp,8502,8.3,assets/profile/kitsune.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
koi.webp,9240,9.0,assets/profile/koi.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
koma-spirit.webp,9562,9.3,assets/profile/koma-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
kotoba-spirit.webp,8616,8.4,assets/profile/kotoba-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
lantern.webp,8354,8.2,assets/profile/lantern.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
moon-spirit.webp,8738,8.5,assets/profile/moon-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
nami-spirit.webp,10098,9.9,assets/profile/nami-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
neko.webp,9172,9.0,assets/profile/neko.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
onigiri.webp,9632,9.4,assets/profile/onigiri.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
paper-plane.webp,7708,7.5,assets/profile/paper-plane.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
sakura-spirit.webp,6642,6.5,assets/profile/sakura-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
sensu.webp,10448,10.2,assets/profile/sensu.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
shiba.webp,10642,10.4,assets/profile/shiba.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
sun-spirit.webp,8064,7.9,assets/profile/sun-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
suzume.webp,9864,9.6,assets/profile/suzume.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
take-spirit.webp,8222,8.0,assets/profile/take-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
tanuki.webp,8102,7.9,assets/profile/tanuki.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
tsuru.webp,9148,8.9,assets/profile/tsuru.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
usagi.webp,9004,8.8,assets/profile/usagi.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
yuki-spirit.webp,10506,10.3,assets/profile/yuki-spirit.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
badung.png,119183,116.4,assets/region/badung.png,Original 512px region source masters retained for docs/regeneration; not production runtime,SOURCE_RETAINED
jembrana.png,181767,177.5,assets/region/jembrana.png,Original 512px region source masters retained for docs/regeneration; not production runtime,SOURCE_RETAINED
singaraja.png,126281,123.3,assets/region/singaraja.png,Original 512px region source masters retained for docs/regeneration; not production runtime,SOURCE_RETAINED
umum.png,147339,143.9,assets/region/umum.png,Original 512px region source masters retained for docs/regeneration; not production runtime,SOURCE_RETAINED
badung-128.png,13719,13.4,assets/region-icons/badung-128.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
badung-32.png,1784,1.7,assets/region-icons/badung-32.png,32px export / fallback; QA validation,EXPORT_VARIANT
badung-64.png,4769,4.7,assets/region-icons/badung-64.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
jembrana-128.png,20753,20.3,assets/region-icons/jembrana-128.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
jembrana-32.png,2419,2.4,assets/region-icons/jembrana-32.png,32px export / fallback; QA validation,EXPORT_VARIANT
jembrana-64.png,6947,6.8,assets/region-icons/jembrana-64.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
singaraja-128.png,15626,15.3,assets/region-icons/singaraja-128.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
singaraja-32.png,2127,2.1,assets/region-icons/singaraja-32.png,32px export / fallback; QA validation,EXPORT_VARIANT
singaraja-64.png,5693,5.6,assets/region-icons/singaraja-64.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
umum-128.png,17461,17.1,assets/region-icons/umum-128.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
umum-32.png,2310,2.3,assets/region-icons/umum-32.png,32px export / fallback; QA validation,EXPORT_VARIANT
umum-64.png,6336,6.2,assets/region-icons/umum-64.png,Group/Wilayah cards via app.js/deploy-v35.js src/srcset; service worker,RUNTIME_CURRENT
